"Type","Description","Case","Location","Agency","Date","CityState","Address","lon","lat"
NA,"AUTO BURGLARY",130009605,"4300 BLOCK MESA GRANDE PL SE","Albuquerque Police","1/31/2013 12:25","Albuquerque NM","4300 BLOCK MESA GRANDE PL SE Albuquerque NM",-106.596734,35.0771205
NA,"AUTO THEFT",130009601,"1500 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","1/31/2013 11:48","Albuquerque NM","1500 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.628691,35.0977279
NA,"AUTO BURGLARY",130800288,"400 BLOCK HERMOSA DR SE","Albuquerque Police","1/31/2013 9:40","Albuquerque NM","400 BLOCK HERMOSA DR SE Albuquerque NM",-106.6033856,35.0754048
NA,"AUTO BURGLARY",130009488,"1400 BLOCK SILVER AV SE","Albuquerque Police","1/31/2013 6:30","Albuquerque NM","1400 BLOCK SILVER AV SE Albuquerque NM",-106.6317399,35.079659
NA,"AUTO BURGLARY",130009482,"1600 BLOCK GOLD AV SE","Albuquerque Police","1/31/2013 4:00","Albuquerque NM","1600 BLOCK GOLD AV SE Albuquerque NM",-106.629178,35.080353
NA,"AUTO THEFT",130009381,"700 BLOCK UNIVERSITY BL SE","Albuquerque Police","1/30/2013 17:20","Albuquerque NM","700 BLOCK UNIVERSITY BL SE Albuquerque NM",-106.6276466,35.0756754
NA,"AUTO BURGLARY",130009343,"1100 BLOCK CENTRAL AV E","Albuquerque Police","1/30/2013 15:31","Albuquerque NM","1100 BLOCK CENTRAL AV E Albuquerque NM",-106.635382,35.081573
NA,"AUTO THEFT",130009336,"500 BLOCK BUENA VISTA DR SE","Albuquerque Police","1/30/2013 15:06","Albuquerque NM","500 BLOCK BUENA VISTA DR SE Albuquerque NM",-106.624007,35.0769848
NA,"AUTO BURGLARY",130009207,"500 BLOCK COLUMBIA DR SE","Albuquerque Police","1/30/2013 5:14","Albuquerque NM","500 BLOCK COLUMBIA DR SE Albuquerque NM",-106.6170638,35.0736704
NA,"AUTO BURGLARY",130009157,"4300 BLOCK CENTRAL AV E","Albuquerque Police","1/29/2013 19:56","Albuquerque NM","4300 BLOCK CENTRAL AV E Albuquerque NM",-106.5962597,35.0786461
NA,"AUTO BURGLARY",130009116,"500 BLOCK DARTMOUTH DR SE","Albuquerque Police","1/29/2013 17:21","Albuquerque NM","500 BLOCK DARTMOUTH DR SE Albuquerque NM",-106.612061,35.0736379
NA,"BURGLARY/BREAKING AND ENTERING",130008955,"1800 BLOCK MORNINGSIDE DR NE","Albuquerque Police","1/29/2013 10:12","Albuquerque NM","1800 BLOCK MORNINGSIDE DR NE Albuquerque NM",-106.6002835,35.0989808
NA,"AUTO BURGLARY",130800268,"3000 BLOCK MONTE VISTA BL NE","Albuquerque Police","1/29/2013 9:55","Albuquerque NM","3000 BLOCK MONTE VISTA BL NE Albuquerque NM",-106.6120148,35.0814319
NA,"AUTO BURGLARY",130008916,"300 BLOCK ADAMS ST SE","Albuquerque Police","1/29/2013 6:38","Albuquerque NM","300 BLOCK ADAMS ST SE Albuquerque NM",-106.594046,35.075578
NA,"AUTO THEFT",130008704,"1100 BLOCK CENTRAL AV E","Albuquerque Police","1/28/2013 11:11","Albuquerque NM","1100 BLOCK CENTRAL AV E Albuquerque NM",-106.635382,35.081573
NA,"AUTO THEFT",130008513,"400 BLOCK JEFFERSON ST NE","Albuquerque Police","1/27/2013 19:24","Albuquerque NM","400 BLOCK JEFFERSON ST NE Albuquerque NM",-106.5929994,35.0836934
NA,"AUTO BURGLARY",130800246,"2700 BLOCK VISTA LARGA AV NE","Albuquerque Police","1/26/2013 15:23","Albuquerque NM","2700 BLOCK VISTA LARGA AV NE Albuquerque NM",-106.6156548,35.1012836
NA,"BURGLARY/BREAKING AND ENTERING",130007921,"200 BLOCK CARLISLE BL SE","Albuquerque Police","1/25/2013 19:23","Albuquerque NM","200 BLOCK CARLISLE BL SE Albuquerque NM",-106.604314,35.078179
NA,"BURGLARY/BREAKING AND ENTERING",130007755,"500 BLOCK GIRARD BL SE","Albuquerque Police","1/25/2013 12:14","Albuquerque NM","500 BLOCK GIRARD BL SE Albuquerque NM",-106.612967,35.073509
NA,"BURGLARY/BREAKING AND ENTERING",130007741,"1500 BLOCK CORNELL DR NE","Albuquerque Police","1/25/2013 11:51","Albuquerque NM","1500 BLOCK CORNELL DR NE Albuquerque NM",-106.619016,35.100077
NA,"BURGLARY/BREAKING AND ENTERING",130007719,"100 BLOCK HARVARD DR SE","Albuquerque Police","1/25/2013 10:53","Albuquerque NM","100 BLOCK HARVARD DR SE Albuquerque NM",-106.6207849,35.080918
NA,"COMMERCIAL BURGLARY",130007667,"400 BLOCK MAPLE ST SE","Albuquerque Police","1/25/2013 8:36","Albuquerque NM","400 BLOCK MAPLE ST SE Albuquerque NM",-106.6308407,35.0788271
NA,"AUTO BURGLARY",130007634,"300 BLOCK AMHERST DR NE","Albuquerque Police","1/25/2013 5:12","Albuquerque NM","300 BLOCK AMHERST DR NE Albuquerque NM",-106.60508,35.082254
NA,"BURGLARY/BREAKING AND ENTERING",130007566,"500 BLOCK CARLISLE BL SE","Albuquerque Police","1/24/2013 19:57","Albuquerque NM","500 BLOCK CARLISLE BL SE Albuquerque NM",-106.604202,35.073461
NA,"AUTO BURGLARY",130007448,"400 BLOCK VASSAR DR SE","Albuquerque Police","1/24/2013 14:07","Albuquerque NM","400 BLOCK VASSAR DR SE Albuquerque NM",-106.6145559,35.0754769
NA,"AUTO BURGLARY",130800231,"500 BLOCK BRYN MAWR DR SE","Albuquerque Police","1/24/2013 8:53","Albuquerque NM","500 BLOCK BRYN MAWR DR SE Albuquerque NM",-106.6095497,35.0736189
NA,"AUTO THEFT",130007328,"1700 BLOCK INDIAN PLAZA DR NE","Albuquerque Police","1/24/2013 6:32","Albuquerque NM","1700 BLOCK INDIAN PLAZA DR NE Albuquerque NM",-106.606112,35.103321
NA,"BURGLARY/BREAKING AND ENTERING",130007238,"600 BLOCK JEFFERSON ST NE","Albuquerque Police","1/23/2013 19:03","Albuquerque NM","600 BLOCK JEFFERSON ST NE Albuquerque NM",-106.5930073,35.0874466
NA,"AUTO THEFT",130007218,"1100 BLOCK CENTRAL AV E","Albuquerque Police","1/23/2013 18:22","Albuquerque NM","1100 BLOCK CENTRAL AV E Albuquerque NM",-106.635382,35.081573
NA,"AUTO THEFT",130007002,"1300 BLOCK COLUMBIA DR NE","Albuquerque Police","1/23/2013 9:40","Albuquerque NM","1300 BLOCK COLUMBIA DR NE Albuquerque NM",-106.616361,35.096635
NA,"AUTO BURGLARY",130006996,"1100 BLOCK CENTRAL AV E","Albuquerque Police","1/23/2013 9:33","Albuquerque NM","1100 BLOCK CENTRAL AV E Albuquerque NM",-106.635382,35.081573
NA,"AUTO THEFT",130006986,"2900 BLOCK BURTON AV SE","Albuquerque Police","1/23/2013 7:56","Albuquerque NM","2900 BLOCK BURTON AV SE Albuquerque NM",-106.6133183,35.0719711
NA,"BURGLARY/BREAKING AND ENTERING",130006946,"300 BLOCK AMHERST DR SE","Albuquerque Police","1/23/2013 1:02","Albuquerque NM","300 BLOCK AMHERST DR SE Albuquerque NM",-106.6054319,35.077104
NA,"AUTO BURGLARY",130006860,"200 BLOCK CEDAR ST SE","Albuquerque Police","1/22/2013 17:50","Albuquerque NM","200 BLOCK CEDAR ST SE Albuquerque NM",-106.6340268,35.0812492
NA,"AUTO THEFT",130006792,"1700 BLOCK COAL PL SE","Albuquerque Police","1/22/2013 15:09","Albuquerque NM","1700 BLOCK COAL PL SE Albuquerque NM",-106.6286697,35.07758
NA,"AUTO BURGLARY",130006697,"100 BLOCK HARVARD DR SE","Albuquerque Police","1/22/2013 11:21","Albuquerque NM","100 BLOCK HARVARD DR SE Albuquerque NM",-106.6207849,35.080918
NA,"BURGLARY/BREAKING AND ENTERING",130006563,"1900 BLOCK BRYN MAWR DR NE","Albuquerque Police","1/21/2013 21:35","Albuquerque NM","1900 BLOCK BRYN MAWR DR NE Albuquerque NM",-106.6102765,35.1047644
NA,"AUTO BURGLARY",130800264,"1600 BLOCK HARVARD DR NE","Albuquerque Police","1/21/2013 10:05","Albuquerque NM","1600 BLOCK HARVARD DR NE Albuquerque NM",-106.621107,35.1001059
NA,"AUTO THEFT",130006199,"400 BLOCK WASHINGTON ST SE","Albuquerque Police","1/20/2013 15:06","Albuquerque NM","400 BLOCK WASHINGTON ST SE Albuquerque NM",-106.5948389,35.075436
NA,"COMMERCIAL BURGLARY",130009024,"300 BLOCK CORNELL DR SE","Albuquerque Police","1/20/2013 14:00","Albuquerque NM","300 BLOCK CORNELL DR SE Albuquerque NM",-106.6195493,35.077289
NA,"AUTO BURGLARY",130006167,"3400 BLOCK SILVER AV SE","Albuquerque Police","1/20/2013 13:03","Albuquerque NM","3400 BLOCK SILVER AV SE Albuquerque NM",-106.6070262,35.0790504
NA,"BURGLARY/BREAKING AND ENTERING",130006106,"500 BLOCK TULANE DR SE","Albuquerque Police","1/20/2013 6:22","Albuquerque NM","500 BLOCK TULANE DR SE Albuquerque NM",-106.606701,35.073499
NA,"AUTO THEFT",130006094,"400 BLOCK VALVERDE DR SE","Albuquerque Police","1/20/2013 3:45","Albuquerque NM","400 BLOCK VALVERDE DR SE Albuquerque NM",-106.5962195,35.0749707
NA,"AUTO BURGLARY",130006037,"200 BLOCK PRINCETON DR SE","Albuquerque Police","1/19/2013 22:00","Albuquerque NM","200 BLOCK PRINCETON DR SE Albuquerque NM",-106.615785,35.0790818
NA,"AUTO THEFT",130006015,"1800 BLOCK GIRARD BL NE","Albuquerque Police","1/19/2013 21:05","Albuquerque NM","1800 BLOCK GIRARD BL NE Albuquerque NM",-106.6138506,35.1035116
NA,"BURGLARY/BREAKING AND ENTERING",130005954,"800 BLOCK LOCUST PL NE","Albuquerque Police","1/19/2013 18:00","Albuquerque NM","800 BLOCK LOCUST PL NE Albuquerque NM",-106.6353901,35.0905607
NA,"BURGLARY/BREAKING AND ENTERING",130005908,"700 BLOCK MORNINGSIDE DR NE","Albuquerque Police","1/19/2013 15:01","Albuquerque NM","700 BLOCK MORNINGSIDE DR NE Albuquerque NM",-106.5982518,35.0892563
NA,"AUTO BURGLARY",130005886,"1400 BLOCK GOLD AV SE","Albuquerque Police","1/19/2013 13:33","Albuquerque NM","1400 BLOCK GOLD AV SE Albuquerque NM",-106.6316556,35.0809395
NA,"BURGLARY/BREAKING AND ENTERING",130005833,"2300 BLOCK VISTA LARGA DR NE","Albuquerque Police","1/19/2013 8:52","Albuquerque NM","2300 BLOCK VISTA LARGA DR NE Albuquerque NM",-106.620287,35.100245
NA,"AUTO BURGLARY",130005666,"100 BLOCK BRYN MAWR DR SE","Albuquerque Police","1/18/2013 16:00","Albuquerque NM","100 BLOCK BRYN MAWR DR SE Albuquerque NM",-106.6095355,35.0803834
NA,"AUTO BURGLARY",130005591,"200 BLOCK SYCAMORE ST SE","Albuquerque Police","1/18/2013 13:59","Albuquerque NM","200 BLOCK SYCAMORE ST SE Albuquerque NM",-106.6316481,35.0809443
NA,"AUTO THEFT",130005472,"2100 BLOCK CARLISLE BL NE","Albuquerque Police","1/18/2013 8:50","Albuquerque NM","2100 BLOCK CARLISLE BL NE Albuquerque NM",-106.6035133,35.1186186
NA,"AUTO BURGLARY",130800172,"100 BLOCK AMHERST DR SE","Albuquerque Police","1/18/2013 8:45","Albuquerque NM","100 BLOCK AMHERST DR SE Albuquerque NM",-106.6057643,35.0798632
NA,"COMMERCIAL BURGLARY",130005475,"4300 BLOCK SILVER AV SE","Albuquerque Police","1/18/2013 7:56","Albuquerque NM","4300 BLOCK SILVER AV SE Albuquerque NM",-106.596206,35.077636
NA,"BURGLARY/BREAKING AND ENTERING",130005179,"200 BLOCK CARLISLE BL SE","Albuquerque Police","1/17/2013 19:17","Albuquerque NM","200 BLOCK CARLISLE BL SE Albuquerque NM",-106.604314,35.078179
NA,"BURGLARY/BREAKING AND ENTERING",130005203,"3000 BLOCK DELANO PL NE","Albuquerque Police","1/17/2013 18:18","Albuquerque NM","3000 BLOCK DELANO PL NE Albuquerque NM",-106.611958,35.090152
NA,"BURGLARY/BREAKING AND ENTERING",130005191,"3800 BLOCK CALLE DEL MONTE NE","Albuquerque Police","1/17/2013 17:08","Albuquerque NM","3800 BLOCK CALLE DEL MONTE NE Albuquerque NM",-106.6025714,35.0921535
NA,"BURGLARY/BREAKING AND ENTERING",130005163,"3800 BLOCK MACKLAND AV NE","Albuquerque Police","1/17/2013 16:57","Albuquerque NM","3800 BLOCK MACKLAND AV NE Albuquerque NM",-106.6020168,35.0910465
NA,"AUTO THEFT",130005043,"4400 BLOCK CUTLER AV NE","Albuquerque Police","1/17/2013 11:30","Albuquerque NM","4400 BLOCK CUTLER AV NE Albuquerque NM",-106.5944953,35.1047947
NA,"BURGLARY/BREAKING AND ENTERING",130005415,"100 BLOCK PRINCETON DR SE","Albuquerque Police","1/17/2013 0:11","Albuquerque NM","100 BLOCK PRINCETON DR SE Albuquerque NM",-106.6157632,35.0809032
NA,"BURGLARY/BREAKING AND ENTERING",130004620,"4200 BLOCK MESA GRANDE PL SE","Albuquerque Police","1/16/2013 23:00","Albuquerque NM","4200 BLOCK MESA GRANDE PL SE Albuquerque NM",-106.5978505,35.0772399
NA,"BURGLARY/BREAKING AND ENTERING",130004918,"1200 BLOCK LEAD AV SE","Albuquerque Police","1/16/2013 20:05","Albuquerque NM","1200 BLOCK LEAD AV SE Albuquerque NM",-106.594926,35.0759618
NA,"AUTO BURGLARY",130004777,"300 BLOCK RICHMOND DR SE","Albuquerque Police","1/16/2013 14:15","Albuquerque NM","300 BLOCK RICHMOND DR SE Albuquerque NM",-106.6107802,35.0772594
NA,"AUTO BURGLARY",130800154,"200 BLOCK VASSAR DR SE","Albuquerque Police","1/16/2013 14:01","Albuquerque NM","200 BLOCK VASSAR DR SE Albuquerque NM",-106.6145099,35.0790763
NA,"BURGLARY/BREAKING AND ENTERING",130004718,"300 BLOCK MESA ST SE","Albuquerque Police","1/16/2013 11:50","Albuquerque NM","300 BLOCK MESA ST SE Albuquerque NM",-106.6258996,35.0791604
NA,"AUTO THEFT",130004482,"1900 BLOCK GOLD AV SE","Albuquerque Police","1/15/2013 15:10","Albuquerque NM","1900 BLOCK GOLD AV SE Albuquerque NM",-106.625724,35.0801695
NA,"BURGLARY/BREAKING AND ENTERING",130004512,"4400 BLOCK ROYENE AV NE","Albuquerque Police","1/15/2013 13:54","Albuquerque NM","4400 BLOCK ROYENE AV NE Albuquerque NM",-106.59659,35.0973029
NA,"BURGLARY/BREAKING AND ENTERING",130150713,"4400 BLOCK ROYENE AV NE","Albuquerque Police","1/15/2013 13:45","Albuquerque NM","4400 BLOCK ROYENE AV NE Albuquerque NM",-106.59659,35.0973029
NA,"AUTO BURGLARY",130004240,"4400 BLOCK CUTLER AV NE","Albuquerque Police","1/14/2013 18:01","Albuquerque NM","4400 BLOCK CUTLER AV NE Albuquerque NM",-106.5944953,35.1047947
NA,"AUTO BURGLARY",130800136,"400 BLOCK ASH ST NE","Albuquerque Police","1/14/2013 14:46","Albuquerque NM","400 BLOCK ASH ST NE Albuquerque NM",-106.6281686,35.0842011
NA,"BURGLARY/BREAKING AND ENTERING",130004150,"1400 BLOCK PRINCETON DR NE","Albuquerque Police","1/14/2013 13:54","Albuquerque NM","1400 BLOCK PRINCETON DR NE Albuquerque NM",-106.6143706,35.0985178
NA,"BURGLARY/BREAKING AND ENTERING",130004162,"1600 BLOCK RITA DR NE","Albuquerque Police","1/14/2013 13:13","Albuquerque NM","1600 BLOCK RITA DR NE Albuquerque NM",-106.605129,35.096838
NA,"BURGLARY/BREAKING AND ENTERING",130004060,"1300 BLOCK LAFAYETTE DR NE","Albuquerque Police","1/14/2013 12:13","Albuquerque NM","1300 BLOCK LAFAYETTE DR NE Albuquerque NM",-106.608331,35.0966949
NA,"AUTO THEFT",130004015,"1200 BLOCK TIJERAS AV NE","Albuquerque Police","1/14/2013 9:39","Albuquerque NM","1200 BLOCK TIJERAS AV NE Albuquerque NM",-106.6332731,35.0842067
NA,"AUTO THEFT",130003720,"4300 BLOCK CENTRAL AV E","Albuquerque Police","1/13/2013 1:05","Albuquerque NM","4300 BLOCK CENTRAL AV E Albuquerque NM",-106.5962597,35.0786461
NA,"BURGLARY/BREAKING AND ENTERING",130003668,"300 BLOCK SIERRA DR SE","Albuquerque Police","1/12/2013 21:15","Albuquerque NM","300 BLOCK SIERRA DR SE Albuquerque NM",-106.5980174,35.0761695
NA,"AUTO BURGLARY",130003291,"4500 BLOCK CENTRAL AV E","Albuquerque Police","1/11/2013 16:08","Albuquerque NM","4500 BLOCK CENTRAL AV E Albuquerque NM",-106.5941009,35.0783732
NA,"BURGLARY/BREAKING AND ENTERING",130003241,"2500 BLOCK CUTLER AV NE","Albuquerque Police","1/11/2013 14:30","Albuquerque NM","2500 BLOCK CUTLER AV NE Albuquerque NM",-106.6207078,35.1050946
NA,"AUTO THEFT",130003162,"1600 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","1/11/2013 10:12","Albuquerque NM","1600 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.62732,35.098968
NA,"AUTO BURGLARY",130003053,"100 BLOCK RICHMOND DR SE","Albuquerque Police","1/10/2013 21:13","Albuquerque NM","100 BLOCK RICHMOND DR SE Albuquerque NM",-106.6107655,35.0805529
NA,"BURGLARY/BREAKING AND ENTERING",130002962,"1600 BLOCK PRINCETON DR NE","Albuquerque Police","1/10/2013 16:15","Albuquerque NM","1600 BLOCK PRINCETON DR NE Albuquerque NM",-106.6156573,35.1013056
NA,"AUTO BURGLARY",130800104,"100 BLOCK BRYN MAWR DR NE","Albuquerque Police","1/10/2013 15:09","Albuquerque NM","100 BLOCK BRYN MAWR DR NE Albuquerque NM",-106.6095426,35.0805224
NA,"BURGLARY/BREAKING AND ENTERING",130002818,"4400 BLOCK CONSTITUTION AV NE","Albuquerque Police","1/10/2013 10:28","Albuquerque NM","4400 BLOCK CONSTITUTION AV NE Albuquerque NM",-106.5965,35.0946825
NA,"AUTO BURGLARY",130002793,"1000 BLOCK CENTRAL AV E","Albuquerque Police","1/10/2013 8:50","Albuquerque NM","1000 BLOCK CENTRAL AV E Albuquerque NM",-106.6361911,35.0825401
NA,"AUTO BURGLARY",130002789,"500 BLOCK BRYN MAWR DR SE","Albuquerque Police","1/10/2013 8:01","Albuquerque NM","500 BLOCK BRYN MAWR DR SE Albuquerque NM",-106.6095497,35.0736189
NA,"COMMERCIAL BURGLARY",130002475,"1500 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","1/9/2013 12:00","Albuquerque NM","1500 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.628691,35.0977279
NA,"COMMERCIAL BURGLARY",130002527,"400 BLOCK MAPLE ST SE","Albuquerque Police","1/9/2013 10:38","Albuquerque NM","400 BLOCK MAPLE ST SE Albuquerque NM",-106.6308407,35.0788271
NA,"AUTO BURGLARY",130800087,"1100 BLOCK LOMAS BL NE","Albuquerque Police","1/8/2013 22:52","Albuquerque NM","1100 BLOCK LOMAS BL NE Albuquerque NM",-106.6330176,35.0917836
NA,"BURGLARY/BREAKING AND ENTERING",130002398,"2100 BLOCK ST CYR AV SE","Albuquerque Police","1/8/2013 18:00","Albuquerque NM","2100 BLOCK ST CYR AV SE Albuquerque NM",-106.6240717,35.0730333
NA,"AUTO BURGLARY",130002340,"100 BLOCK GIRARD BL SE","Albuquerque Police","1/8/2013 17:11","Albuquerque NM","100 BLOCK GIRARD BL SE Albuquerque NM",-106.6132502,35.0808988
NA,"AUTO BURGLARY",130800083,"300 BLOCK HARVARD DR SE","Albuquerque Police","1/8/2013 14:30","Albuquerque NM","300 BLOCK HARVARD DR SE Albuquerque NM",-106.620447,35.07716
NA,"AUTO BURGLARY",130002139,"2800 BLOCK EUCLID AV NE","Albuquerque Police","1/8/2013 8:15","Albuquerque NM","2800 BLOCK EUCLID AV NE Albuquerque NM",-106.6144596,35.103483
NA,"AUTO BURGLARY",130002143,"4300 BLOCK ZUNI RD SE","Albuquerque Police","1/8/2013 7:53","Albuquerque NM","4300 BLOCK ZUNI RD SE Albuquerque NM",-106.5971371,35.0729249
NA,"AUTO THEFT",130001929,"700 BLOCK UNIVERSITY BL SE","Albuquerque Police","1/7/2013 14:18","Albuquerque NM","700 BLOCK UNIVERSITY BL SE Albuquerque NM",-106.6276466,35.0756754
NA,"BURGLARY/BREAKING AND ENTERING",130001954,"4400 BLOCK JOE DAN PL NE","Albuquerque Police","1/7/2013 13:42","Albuquerque NM","4400 BLOCK JOE DAN PL NE Albuquerque NM",-106.595018,35.09877
NA,"COMMERCIAL BURGLARY",130001919,"400 BLOCK ADAMS ST SE","Albuquerque Police","1/7/2013 13:40","Albuquerque NM","400 BLOCK ADAMS ST SE Albuquerque NM",-106.5943254,35.0743187
NA,"AUTO THEFT",130001873,"100 BLOCK COLUMBIA DR SE","Albuquerque Police","1/7/2013 11:35","Albuquerque NM","100 BLOCK COLUMBIA DR SE Albuquerque NM",-106.6170292,35.0809014
NA,"AUTO BURGLARY",130001750,"3100 BLOCK CENTRAL AV E","Albuquerque Police","1/6/2013 21:10","Albuquerque NM","3100 BLOCK CENTRAL AV E Albuquerque NM",-106.610617,35.080339
NA,"COMMERCIAL BURGLARY",130001555,"1000 BLOCK TIJERAS AV NE","Albuquerque Police","1/6/2013 1:06","Albuquerque NM","1000 BLOCK TIJERAS AV NE Albuquerque NM",-106.6357254,35.0845222
NA,"AUTO BURGLARY",130001544,"3500 BLOCK SILVER AV SE","Albuquerque Police","1/5/2013 23:31","Albuquerque NM","3500 BLOCK SILVER AV SE Albuquerque NM",-106.605781,35.0790405
NA,"AUTO BURGLARY",130001466,"500 BLOCK COLUMBIA DR SE","Albuquerque Police","1/5/2013 17:36","Albuquerque NM","500 BLOCK COLUMBIA DR SE Albuquerque NM",-106.6170638,35.0736704
NA,"AUTO THEFT",130001395,"1100 BLOCK CENTRAL AV E","Albuquerque Police","1/5/2013 13:40","Albuquerque NM","1100 BLOCK CENTRAL AV E Albuquerque NM",-106.635382,35.081573
NA,"BURGLARY/BREAKING AND ENTERING",130001270,"2800 BLOCK MOUNTAIN RD NE","Albuquerque Police","1/4/2013 20:13","Albuquerque NM","2800 BLOCK MOUNTAIN RD NE Albuquerque NM",-106.6142243,35.092859
NA,"BURGLARY/BREAKING AND ENTERING",130001107,"700 BLOCK LOMA VISTA DR NE","Albuquerque Police","1/4/2013 12:59","Albuquerque NM","700 BLOCK LOMA VISTA DR NE Albuquerque NM",-106.6082234,35.0879933
NA,"AUTO BURGLARY",130001038,"100 BLOCK AMHERST DR SE","Albuquerque Police","1/4/2013 10:40","Albuquerque NM","100 BLOCK AMHERST DR SE Albuquerque NM",-106.6057643,35.0798632
NA,"AUTO BURGLARY",130000977,"1500 BLOCK GIRARD BL NE","Albuquerque Police","1/4/2013 6:41","Albuquerque NM","1500 BLOCK GIRARD BL NE Albuquerque NM",-106.612726,35.100378
NA,"AUTO BURGLARY",130000971,"1800 BLOCK VASSAR DR NE","Albuquerque Police","1/4/2013 4:44","Albuquerque NM","1800 BLOCK VASSAR DR NE Albuquerque NM",-106.614707,35.104117
NA,"AUTO BURGLARY",130000754,"300 BLOCK CORNELL DR SE","Albuquerque Police","1/3/2013 13:00","Albuquerque NM","300 BLOCK CORNELL DR SE Albuquerque NM",-106.6195493,35.077289
NA,"AUTO BURGLARY",130000752,"200 BLOCK AMHERST DR SE","Albuquerque Police","1/3/2013 12:09","Albuquerque NM","200 BLOCK AMHERST DR SE Albuquerque NM",-106.605418,35.078926
NA,"AUTO BURGLARY",130000562,"3700 BLOCK CONSTITUTION AV NE","Albuquerque Police","1/2/2013 17:08","Albuquerque NM","3700 BLOCK CONSTITUTION AV NE Albuquerque NM",-106.6032043,35.0948138
NA,"AUTO BURGLARY",130000499,"1900 BLOCK MORNINGSIDE DR NE","Albuquerque Police","1/2/2013 15:11","Albuquerque NM","1900 BLOCK MORNINGSIDE DR NE Albuquerque NM",-106.6002728,35.1006174
NA,"AUTO BURGLARY",130800015,"1800 BLOCK DARTMOUTH DR NE","Albuquerque Police","1/2/2013 11:30","Albuquerque NM","1800 BLOCK DARTMOUTH DR NE Albuquerque NM",-106.612383,35.103686
NA,"AUTO BURGLARY",130000367,"2300 BLOCK MORROW RD NE","Albuquerque Police","1/2/2013 9:46","Albuquerque NM","2300 BLOCK MORROW RD NE Albuquerque NM",-106.623228,35.102278
NA,"AUTO BURGLARY",130000327,"900 BLOCK AVENIDA MANANA NE","Albuquerque Police","1/2/2013 7:26","Albuquerque NM","900 BLOCK AVENIDA MANANA NE Albuquerque NM",-106.5979017,35.0927371
NA,"AUTO BURGLARY",130000323,"900 BLOCK AVENIDA MANANA NE","Albuquerque Police","1/2/2013 7:26","Albuquerque NM","900 BLOCK AVENIDA MANANA NE Albuquerque NM",-106.5979017,35.0927371
NA,"AUTO BURGLARY",130800012,"3400 BLOCK INDIAN SCHOOL RD NE","Albuquerque Police","1/1/2013 22:48","Albuquerque NM","3400 BLOCK INDIAN SCHOOL RD NE Albuquerque NM",-106.6061704,35.10195
NA,"BURGLARY/BREAKING AND ENTERING",130000236,"500 BLOCK AMHERST DR SE","Albuquerque Police","1/1/2013 18:10","Albuquerque NM","500 BLOCK AMHERST DR SE Albuquerque NM",-106.605446,35.0734769
NA,"BURGLARY/BREAKING AND ENTERING",130000204,"400 BLOCK AMHERST DR SE","Albuquerque Police","1/1/2013 15:51","Albuquerque NM","400 BLOCK AMHERST DR SE Albuquerque NM",-106.6057921,35.0754138
NA,"AUTO BURGLARY",130000203,"800 BLOCK WELLESLEY DR NE","Albuquerque Police","1/1/2013 13:05","Albuquerque NM","800 BLOCK WELLESLEY DR NE Albuquerque NM",-106.607134,35.089606
NA,"AUTO THEFT",130000118,"500 BLOCK ALISO DR NE","Albuquerque Police","1/1/2013 10:15","Albuquerque NM","500 BLOCK ALISO DR NE Albuquerque NM",-106.6009477,35.0855917
NA,"AUTO THEFT",130000116,"1100 BLOCK SUMMIT DR NE","Albuquerque Police","1/1/2013 9:50","Albuquerque NM","1100 BLOCK SUMMIT DR NE Albuquerque NM",-106.609234,35.09301
